dataset_name,task_type,best_model,score,train_time_sec
503_wind.csv,Regression,PolynomialRegression,0.7894837575642322,0.0353
507_space_ga.csv,Regression,GradientBoosting,0.6554590710620176,0.2275
512_balloon.csv,Regression,PolynomialRegression,0.7136095054576326,0.005
516_pbcseq.csv,Classification,GradientBoosting,0.8664383561643836,0.6033
529_pollen.csv,Regression,PolynomialRegression,0.7819541554819343,0.0035
537_houses.csv,Regression,GradientBoosting,0.8033245147949538,0.2366
541_socmob.csv,Regression,ElasticNet,0.6924449810649147,0.002
558_bank32nh.csv,Regression,PolynomialRegression,0.5678649121562755,0.281
562_cpu_small.csv,Regression,KNN,0.319595051066616,0.0594
564_fried.csv,Regression,GradientBoosting,0.9533856140271305,0.3168
572_bank8FM.csv,Regression,Ridge,0.9278335899657751,0.003
573_cpu_act.csv,Regression,GradientBoosting,0.9585217916405322,0.4973
574_house_16H.csv,Regression,GradientBoosting,0.6063732754433395,0.2773
583_fri_c1_1000_50.csv,Regression,RandomForest,0.4225747732298827,0.5191
586_fri_c3_1000_25.csv,Regression,GradientBoosting,0.9275818693880806,0.2858
588_fri_c4_1000_100.csv,Regression,RandomForest,0.2421222050633044,1.043
589_fri_c2_1000_25.csv,Regression,GradientBoosting,0.914341142467329,0.2142
590_fri_c0_1000_50.csv,Regression,SVR,0.5572301519856652,0.04
592_fri_c4_1000_25.csv,Regression,GradientBoosting,0.9039264915139545,0.2705
593_fri_c1_1000_10.csv,Regression,GradientBoosting,0.9429945324334637,0.2292
595_fri_c0_1000_10.csv,Regression,GradientBoosting,0.8890509649882186,0.1958
598_fri_c0_1000_25.csv,Regression,GradientBoosting,0.8933890139925165,0.2215
599_fri_c2_1000_5.csv,Regression,GradientBoosting,0.9569594563211657,0.1805
606_fri_c2_1000_10.csv,Regression,GradientBoosting,0.9441582873215356,0.1996
607_fri_c4_1000_50.csv,Regression,RandomForest,0.4465013353330186,0.5165
608_fri_c3_1000_10.csv,Regression,GradientBoosting,0.8758333385886974,0.2273
609_fri_c0_1000_5.csv,Regression,SVR,0.9384682630994964,0.022
612_fri_c1_1000_5.csv,Regression,GradientBoosting,0.9277354871625003,0.1897
618_fri_c3_1000_50.csv,Regression,RandomForest,0.434010551151902,0.5674
620_fri_c1_1000_25.csv,Regression,GradientBoosting,0.9350382440007351,0.2843
622_fri_c2_1000_50.csv,Regression,GradientBoosting,0.4807363152471049,0.2394
623_fri_c4_1000_10.csv,Regression,GradientBoosting,0.9207959473178216,0.1621
628_fri_c3_1000_5.csv,Regression,GradientBoosting,0.9371460307347232,0.1525
688_visualizing_soil.csv,Regression,SVR,0.48693031248108487,0.388
StudentPerformanceFactors.csv,Regression,Ridge,0.783287902732993,0.003
synthetic_car_prices.csv,Regression,PolynomialRegression,0.9818934840827676,0.022
209_quake.csv,Regression,ElasticNet,-0.0033984860530642536,0.005
287_wine_quality.csv,Classification,RandomForest,0.5526315789473685,0.3374
