n_instances,n_features,n_num_features,n_cat_features,missing_values_pct,class_entropy,n_classes,mean_skewness,mean_kurtosis,avg_correlation,max_correlation,mean_corr_with_target,max_corr_with_target,mean_mutual_info,max_mutual_info,pca_fraction_95,feature_to_instance_ratio,task_type,best_model
2094,7,7,0,0.0,1.0,2,0.042925716,-1.386015236,0.23749716,0.3782631,0.0,0.0,0.167171002,0.217959581,1.0,0.003342884,classification,LogisticRegression
1050,30,30,0,0.0,1.0,2,4.447229698,82.6321728,0.030707523,0.225150651,0.088473226,0.417114888,0.060511165,0.175988949,0.933333333,0.028571429,classification,SVC
906,10,10,4,8.099513655,1.584962501,3,-0.003374092,1.703816523,0.152635651,0.748663122,0.0,0.0,0.237332938,1.099716854,0.888888889,0.011037528,classification,LogisticRegression
582,11,11,4,8.099513655,1.0,2,0.512072158,0.354576565,0.195580675,0.700075294,0.28750669,1.0,0.120471411,0.694007025,0.9,0.018900344,classification,KNN
5904,14,14,3,0.0,4.0,16,1.332865407,1.805037044,0.227115835,0.881917104,0.0,0.0,0.840417117,2.458478495,0.571428571,0.002371274,classification,LogisticRegression
147568,24,24,6,10.25974569,1.0,2,0.611593791,10.29185033,0.116890645,0.907156576,0.0,0.0,0.201009191,0.355481784,0.80952381,0.000162637,classification,GradientBoosting
331748,30,30,0,0.0,1.0,2,0.049775025,3.651339176,0.124231863,0.794094485,0.195101455,0.514595694,0.117333019,0.486146895,0.7,9.04e-05,classification,RandomForest
606,8,8,0,0.0,1.0,2,0.504742673,-0.290110805,0.192881025,0.54223208,0.0,0.0,0.100892544,0.170939063,0.875,0.01320132,classification,GradientBoosting
31580,32,32,8,0.882437247,1.0,2,9.338921814,621.2545848,0.065659176,0.948476545,0.0,0.0,0.043032751,0.351956201,0.766666667,0.0010133,classification,GradientBoosting
4096,2,2,0,0.0,1.0,2,0.136386774,-0.817107698,0.215251211,0.215251211,0.068552794,0.07143054,0.089387597,0.132983892,1.0,0.000488281,classification,SVC
5902,32,32,22,1.327253655,1.0,2,0.016273654,0.605398291,0.003527901,0.018726162,0.0,0.0,0.108071672,0.428946727,0.96875,0.005421891,classification,KNN
4390,7,7,0,0.0,3.321928095,10,0.640535681,-0.244025277,0.254090991,0.653243416,0.199530544,0.364424587,0.354874849,1.069471177,0.857142857,0.001594533,classification,GradientBoosting
770,47,47,13,0.0,1.0,2,1.851625993,11.15724949,0.068789947,0.709600383,0.0,0.0,0.02260748,0.216098822,0.804347826,0.061038961,classification,RandomForest
969,8,8,0,0.0,1.584962501,3,-0.200065973,-0.453566088,0.188116664,0.590060207,0.072985948,0.157641673,0.044627789,0.13378453,1.0,0.008255934,classification,SVC
4964,1,1,0,0.0,1.0,2,0.371607755,-0.102400028,0.0,0.0,0.051070727,0.051070727,0.238229034,0.238229034,0.0,0.00020145,classification,SVC
3450,27,27,0,0.0,3.321928095,10,0.06308307,0.043593478,0.019239071,0.116660891,0.101969353,0.426501908,0.220126169,0.881304619,0.962962963,0.007826087,classification,SVC
6504,36,36,0,0.0,2.584962501,6,-0.027119273,-0.541442009,0.493980249,0.958676809,0.380846631,0.676728128,0.742824591,0.943777307,0.194444444,0.005535055,classification,GradientBoosting
2108,46,46,0,0.0,1.0,2,4.715966924,54.65444539,0.062349264,0.924719855,0.148601096,0.49419197,0.033706951,0.27372174,0.794871795,0.021821632,classification,LogisticRegression
