n_instances,n_features,n_num_features,n_cat_features,missing_values_pct,mean_skewness,mean_kurtosis,avg_correlation,max_correlation,mean_corr_with_target,max_corr_with_target,pca_fraction_95,var_mean,var_std,mean_feature_entropy,feature_to_instance_ratio,task_type,best_model
94132,3,3,0,0.0,1.1665886963279102,0.775456656936368,0.2191589117406841,0.612889951839962,0.5359669056429155,0.958595415694684,1.0,2.0118648224988724e-32,0.0,1.9226307023444964,3.1870139803679936e-05,regression,RandomForest
76430,9,9,0,0.0,0.311198277760308,-0.7423042974730042,0.0658073655442789,0.5189260828861176,0.0791187913458665,0.401518137439227,1.0,17.964405332883647,2.426472379632985,1.5642398775475013,0.0001177548083213,regression,GradientBoosting
23564,18,18,0,0.0,0.2616343627938651,1.1883134200557923,4.1864085910742654e-16,7.13481522708663e-15,0.0492116833130437,0.2480533966551424,1.0,7.207922971980561e-32,1.435829706239637,1.6186082257823702,0.000763877100662,regression,GradientBoosting
9243,16,16,0,0.0,0.1300994901062455,3.146999452696507,4.675493470768332e-16,6.978572550160881e-15,0.1223718565863739,0.5724925048705455,1.0,3.4058811434867597e-32,1.1749011585721072,1.4191619885910358,0.0017310397057232,regression,RandomForest
170484,31,31,9,0.8888380148322692,3.8536236127137578,431.79378158294577,0.1808772157304344,0.8547541837752599,0.2043968154579986,0.6464360734102278,0.5862068965517241,0.0473219579704324,0.1493915404131775,0.9390575376527784,0.0001818352455362,regression,RandomForest
13040,121,121,0,0.0,-0.0128991006625862,0.4779430747480164,9.878786348336871e-17,1.7217680465496217e-15,0.0421652707606812,0.3520803616898125,0.950413223140496,1.2521334374734285e-33,2.0120186384331307,1.5925811180706493,0.0092791411042944,regression,RandomForest
407,44,44,0,0.0,-0.0073128927868412,0.5016380865066734,1.457826995462224e-16,8.644715551265846e-16,0.0843186302825301,0.6038285828785341,0.9545454545454546,1.112056896141244e-33,0.394486213632726,1.8616540923524505,0.1081081081081081,regression,Ridge
3893,48,48,0,0.0,3.676540113891497,257.4584545065432,0.2168446157177048,0.9325823516634184,0.3834217739352603,0.8581055516688323,0.5365853658536586,1.1331448177204719e-29,8.258387601532468e-32,0.5947089265249342,0.0123298227587978,regression,LinearRegression
15283,7,7,3,0.0,1.4075533786219911,4.19635375658062,0.0771544863115941,0.9019642473407472,0.0119069350065808,0.0234841066376388,0.8571428571428571,0.0635350279926345,0.0679535427794403,0.7088354383643773,0.0004580252568213,regression,PolynomialRegression
7039,6,6,1,0.0,0.0927431681493946,-0.4797710896681875,0.1525208178515235,0.2301895711887791,0.402291550098834,0.898224313814569,1.0,0.1035892794717217,0.0844534128639508,1.507138015108812,0.0008523938059383,regression,GradientBoosting
71983,13,13,0,0.0,0.9950116315430992,2.559136496492361,0.1120899399874825,0.9462627433401816,0.2783342939337431,0.8906402047140322,0.7692307692307693,6.441887977200263,3.6208475849095794,1.6709805429440996,0.0001805981967964,regression,RandomForest
73581,18,18,1,0.0,0.6624050002250121,0.914371127990493,0.0860618762056655,0.9468507773727326,0.2198856206114026,0.8900101267830463,0.7647058823529411,16.692436873955888,13.499493136513614,1.7101824492825053,0.0002446283687364,regression,RandomForest
9162,8,8,11,6.544939924606327,-5.703754647666249,286.89446028764945,0.3313005542666078,0.9453935205748512,0.5708954047082133,0.9693842400732342,0.625,39.11530078412771,3.5228495103685185,1.278785709617242,0.0008731717965509,regression,GradientBoosting
64324,18,18,7,3.672416666666667,2.272572717475952,10.532764634540175,0.1214736818500466,0.9462090547676012,0.2728324806334038,0.9885403983276896,0.7777777777777778,0.2063792225021491,0.1468306360595422,0.8670324505887632,0.0002798333436975,regression,DecisionTree
